,SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
490875,2606525,185324,Consumer loans,,113837.4,113837.4,0.0,113837.4,TUESDAY,13,Y,1,0.0,,,XAP,Unused offer,-510,Cash through the bank,CLIENT,,Repeater,Computers,XNA,XNA,Country-wide,46,Connectivity,,XNA,POS mobile with interest,,,,,,
875394,1021247,254204,Consumer loans,17473.5,247500.0,247500.0,0.0,247500.0,FRIDAY,7,Y,1,0.0,,,XAP,Refused,-1160,XNA,LIMIT,Unaccompanied,Refreshed,Construction Materials,POS,XNA,Stone,3,Construction,18.0,middle,POS industry with interest,,,,,,
1559597,2383976,120053,Consumer loans,9857.835,87300.0,96520.5,0.0,87300.0,FRIDAY,7,Y,1,0.0,,,XAP,Approved,-277,Cash through the bank,XAP,Unaccompanied,New,Consumer Electronics,POS,XNA,Regional / Local,157,Consumer electronics,12.0,middle,POS household with interest,365243.0,-247.0,83.0,365243.0,365243.0,1.0
1022531,2142821,306616,Cash loans,32310.72,720000.0,929002.5,,720000.0,THURSDAY,19,Y,1,,,,Other,Refused,-463,Cash through the bank,LIMIT,,Repeater,XNA,Cash,walk-in,Credit and cash offices,0,XNA,42.0,low_normal,Cash Street: low,,,,,,
1060637,2517890,376704,Consumer loans,12028.365,98550.0,102325.5,4500.0,98550.0,SUNDAY,13,Y,1,0.045877707952774266,,,XAP,Approved,-689,XNA,XAP,Family,Repeater,Consumer Electronics,POS,XNA,Stone,76,Construction,10.0,middle,POS household with interest,365243.0,-655.0,-385.0,-385.0,-381.0,0.0
1401774,1899582,382475,Consumer loans,10038.105,61411.5,54283.5,15183.0,61411.5,MONDAY,14,Y,1,0.2380380078559773,,,XAP,Approved,-674,Cash through the bank,XAP,,New,Consumer Electronics,POS,XNA,Country-wide,400,Consumer electronics,6.0,middle,POS household with interest,,,,,,
1569165,1509151,294402,Consumer loans,13495.05,122805.0,122805.0,0.0,122805.0,WEDNESDAY,19,Y,1,0.0,,,XAP,Approved,-430,Cash through the bank,XAP,,Repeater,Mobile,POS,XNA,Country-wide,57,Connectivity,10.0,low_normal,POS mobile without interest,365243.0,-393.0,-123.0,-123.0,-118.0,0.0
462237,2281621,267893,Cash loans,,0.0,0.0,,,MONDAY,15,Y,1,,,,XNA,Canceled,-16,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1612316,2170333,411411,Cash loans,,0.0,0.0,,,MONDAY,14,Y,1,,,,XNA,Refused,-269,XNA,HC,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
179480,2631951,424455,Cash loans,30098.115,135000.0,156154.5,,135000.0,TUESDAY,13,Y,1,,,,XNA,Approved,-832,Cash through the bank,XAP,Family,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,6.0,middle,Cash X-Sell: middle,365243.0,-802.0,-652.0,-652.0,-645.0,1.0
1462275,2621879,344988,Consumer loans,6622.245,51777.0,56335.5,0.0,51777.0,TUESDAY,12,Y,1,0.0,,,XAP,Approved,-528,Cash through the bank,XAP,,Repeater,Audio/Video,POS,XNA,Country-wide,1375,Consumer electronics,10.0,middle,POS household with interest,365243.0,-496.0,-226.0,-226.0,-222.0,0.0
910417,2120333,301239,Cash loans,51465.195,810000.0,893398.5,,810000.0,FRIDAY,14,Y,1,,,,XNA,Approved,-661,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,36.0,high,Cash X-Sell: high,365243.0,-631.0,419.0,-331.0,-323.0,1.0
1591362,2667822,344773,Revolving loans,,0.0,0.0,,,SATURDAY,17,Y,1,,,,XAP,Canceled,-201,XNA,XAP,,Refreshed,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
1267123,1525310,292573,Cash loans,48494.88,1710000.0,1913148.0,,1710000.0,FRIDAY,6,Y,1,,,,Buying a new car,Refused,-10,Cash through the bank,LIMIT,Unaccompanied,Repeater,XNA,Cash,walk-in,Channel of corporate sales,-1,XNA,60.0,low_action,Cash Street: low,,,,,,
1203603,2408169,159790,Cash loans,26954.1,225000.0,269757.0,,225000.0,FRIDAY,14,Y,1,,,,XNA,Approved,-1365,Cash through the bank,XAP,Other_B,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,middle,Cash X-Sell: middle,365243.0,-1335.0,-1005.0,-1005.0,-999.0,1.0
1399438,1374738,404515,Consumer loans,5763.015,31860.0,28714.5,4500.0,31860.0,SATURDAY,13,Y,1,0.14755330024263769,,,XAP,Approved,-2881,Cash through the bank,XAP,Other_B,Repeater,Mobile,POS,XNA,Country-wide,44,Connectivity,6.0,low_normal,POS mobile with interest,365243.0,-2850.0,-2700.0,-2700.0,-2691.0,1.0
557405,1234512,325914,Consumer loans,3250.44,17995.5,16195.5,1800.0,17995.5,WEDNESDAY,16,Y,1,0.10893632499033844,,,XAP,Approved,-2651,Cash through the bank,XAP,,Refreshed,Mobile,POS,XNA,Stone,30,Connectivity,6.0,high,POS mobile with interest,365243.0,-2558.0,-2408.0,-2468.0,-2465.0,0.0
85206,2162457,148818,Consumer loans,15259.5,90864.0,85824.0,9090.0,90864.0,SUNDAY,6,Y,1,0.10430322569522267,,,XAP,Approved,-1370,Cash through the bank,XAP,Unaccompanied,Repeater,Audio/Video,POS,XNA,Country-wide,2775,Consumer electronics,6.0,low_normal,POS household with interest,365243.0,-1335.0,-1185.0,-1215.0,-1208.0,0.0
1239173,1681703,341077,Consumer loans,35878.68,838678.5,838678.5,0.0,838678.5,TUESDAY,9,Y,1,0.0,,,XAP,Approved,-1064,Cash through the bank,XAP,,Repeater,Vehicles,POS,XNA,Stone,5,Furniture,36.0,middle,POS industry with interest,365243.0,-1031.0,19.0,365243.0,365243.0,0.0
231809,1924444,163078,Revolving loans,,0.0,0.0,,,FRIDAY,18,Y,1,,,,XAP,Canceled,-327,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
1311523,2841572,375423,Consumer loans,13992.255,71991.0,75793.5,0.0,71991.0,WEDNESDAY,8,Y,1,0.0,,,XAP,Approved,-811,Cash through the bank,XAP,Unaccompanied,Refreshed,Computers,POS,XNA,Country-wide,1375,Consumer electronics,6.0,middle,POS household with interest,365243.0,-779.0,-629.0,-629.0,-625.0,0.0
1295843,1012969,304868,Cash loans,13567.59,67500.0,69727.5,0.0,67500.0,TUESDAY,11,Y,1,0.0,,,XNA,Approved,-2222,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,6.0,high,Cash Street: high,365243.0,-2192.0,-2042.0,-2042.0,-2035.0,1.0
452553,1016072,268965,Cash loans,,0.0,0.0,,,FRIDAY,13,Y,1,,,,XNA,Canceled,-332,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1310139,1754610,311495,Revolving loans,,0.0,0.0,,,WEDNESDAY,14,Y,1,,,,XAP,Canceled,-63,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
528182,2806963,148747,Cash loans,33634.035,990000.0,1104997.5,,990000.0,MONDAY,13,Y,1,,,,XNA,Refused,-210,Cash through the bank,HC,Family,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),4,XNA,48.0,low_action,Cash X-Sell: low,,,,,,
1135502,2337748,290262,Cash loans,,0.0,0.0,,,THURSDAY,17,Y,1,,,,XNA,Canceled,-452,XNA,XAP,,Refreshed,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1343733,2091015,363726,Cash loans,,0.0,0.0,,,WEDNESDAY,8,Y,1,,,,XNA,Canceled,-363,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
358841,1540818,334742,Consumer loans,9050.535,82890.0,81985.5,8289.0,82890.0,THURSDAY,11,Y,1,0.10000027189798384,,,XAP,Approved,-1455,Cash through the bank,XAP,Unaccompanied,Repeater,Computers,POS,XNA,Country-wide,40,Consumer electronics,12.0,high,POS household with interest,365243.0,-1423.0,-1093.0,-1153.0,-1150.0,0.0
1197613,2303886,155712,Consumer loans,2938.725,27981.0,25182.0,2799.0,27981.0,FRIDAY,11,Y,1,0.10894412117313372,,,XAP,Approved,-2705,Non-cash from your account,XAP,,New,Mobile,POS,XNA,Country-wide,30,Connectivity,12.0,low_normal,POS mobile with interest,365243.0,-2670.0,-2340.0,-2340.0,-1520.0,0.0
280538,1354340,186158,Consumer loans,2027.79,48681.0,43515.0,5166.0,48681.0,WEDNESDAY,14,Y,1,0.11557370712112805,,,XAP,Approved,-2841,Cash through the bank,XAP,Other_B,New,Audio/Video,POS,XNA,Country-wide,115,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-2810.0,-2120.0,-2540.0,-2536.0,0.0
627986,1596189,264700,Cash loans,16457.895,225000.0,284400.0,,225000.0,WEDNESDAY,8,Y,1,,,,XNA,Approved,-274,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,24.0,middle,Cash X-Sell: middle,365243.0,-244.0,446.0,365243.0,365243.0,1.0
592428,2780891,141191,Consumer loans,,40405.5,40405.5,0.0,40405.5,SATURDAY,6,Y,1,0.0,,,XAP,Unused offer,-697,Cash through the bank,CLIENT,,Refreshed,Computers,XNA,XNA,Country-wide,40,Connectivity,,XNA,POS mobile with interest,,,,,,
981002,2657539,251134,Cash loans,15237.99,139500.0,148707.0,,139500.0,FRIDAY,8,Y,1,,,,XNA,Approved,-352,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,middle,Cash X-Sell: middle,365243.0,-322.0,8.0,-232.0,-224.0,1.0
1151525,1054058,117708,Consumer loans,6769.755,74117.7,66703.5,7414.2,74117.7,WEDNESDAY,19,Y,1,0.10894479750696276,0.14244021307945146,0.6379492600422833,XAP,Approved,-432,Cash through the bank,XAP,,Refreshed,Mobile,POS,XNA,Country-wide,30,Connectivity,12.0,middle,POS mobile with interest,365243.0,-395.0,-65.0,-65.0,-57.0,0.0
244127,1175462,385079,Cash loans,23055.75,225000.0,225000.0,,225000.0,SATURDAY,6,Y,1,,,,XNA,Approved,-740,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,middle,Cash X-Sell: middle,365243.0,-710.0,-380.0,-380.0,-375.0,0.0
665044,1473585,333202,Cash loans,12155.67,238500.0,238500.0,,238500.0,FRIDAY,13,Y,1,,,,XNA,Approved,-1175,Cash through the bank,XAP,"Spouse, partner",Refreshed,XNA,Cash,x-sell,AP+ (Cash loan),5,XNA,30.0,middle,Cash X-Sell: middle,365243.0,-1145.0,-275.0,-935.0,-928.0,0.0
1200188,2338460,166708,Cash loans,,0.0,0.0,,,THURSDAY,10,Y,1,,,,XNA,Canceled,-424,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
389521,2589920,398843,Cash loans,17640.0,90000.0,90000.0,0.0,90000.0,FRIDAY,14,Y,1,0.0,,,XNA,Refused,-2534,Cash through the bank,SCO,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,0,XNA,6.0,high,Cash Street: high,,,,,,
977688,1410464,359408,Cash loans,5314.455,45000.0,57942.0,,45000.0,WEDNESDAY,17,Y,1,,,,Repairs,Approved,-719,Cash through the bank,XAP,,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,high,Cash Street: high,365243.0,-689.0,-179.0,-682.0,-680.0,1.0
635458,2490906,419964,Consumer loans,7132.185,55305.0,58657.5,2250.0,55305.0,FRIDAY,3,Y,1,0.04023239412969741,,,XAP,Approved,-518,XNA,XAP,,Refreshed,Mobile,POS,XNA,Stone,20,Connectivity,12.0,high,POS household with interest,365243.0,-480.0,-150.0,-180.0,-173.0,0.0
590310,2668357,288042,Consumer loans,6740.595,61339.5,61339.5,0.0,61339.5,SATURDAY,18,Y,1,0.0,,,XAP,Approved,-383,Cash through the bank,XAP,,Repeater,Mobile,POS,XNA,Country-wide,24,Connectivity,10.0,low_normal,POS mobile without interest,365243.0,-350.0,-80.0,-200.0,-193.0,0.0
1627559,1275352,328249,Cash loans,,0.0,0.0,,,THURSDAY,11,Y,1,,,,XNA,Canceled,-146,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1519883,2609800,301061,Consumer loans,9196.83,60741.0,49734.0,13500.0,60741.0,FRIDAY,15,Y,1,0.23251300364878505,,,XAP,Approved,-430,XNA,XAP,Unaccompanied,Repeater,Audio/Video,POS,XNA,Country-wide,3500,Consumer electronics,6.0,middle,POS household with interest,365243.0,-400.0,-250.0,-250.0,-246.0,1.0
834226,2050773,122817,Cash loans,20834.01,405000.0,461133.0,,405000.0,SATURDAY,13,Y,1,,,,XNA,Approved,-1574,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,36.0,middle,Cash X-Sell: middle,365243.0,-1542.0,-492.0,-1032.0,-1027.0,0.0
827408,1856459,394572,Consumer loans,16156.89,130455.0,130455.0,0.0,130455.0,THURSDAY,16,Y,1,0.0,,,XAP,Approved,-168,Cash through the bank,XAP,Unaccompanied,Repeater,Mobile,POS,XNA,Country-wide,65,Consumer electronics,10.0,middle,POS mobile with interest,365243.0,-138.0,132.0,365243.0,365243.0,0.0
1530083,2404653,234944,Cash loans,30201.795,315000.0,389952.0,,315000.0,MONDAY,17,Y,1,,,,XNA,Approved,-558,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,middle,Cash X-Sell: middle,365243.0,-528.0,-18.0,-168.0,-160.0,1.0
1569440,2119671,396223,Consumer loans,3627.405,30587.85,30253.5,3061.35,30587.85,MONDAY,16,Y,1,0.10007814696885783,,,XAP,Approved,-2137,XNA,XAP,Unaccompanied,New,Mobile,POS,XNA,Country-wide,1079,Consumer electronics,12.0,high,POS household with interest,365243.0,-2106.0,-1776.0,-2016.0,-2012.0,0.0
1310812,1973481,331048,Consumer loans,7726.365,85954.05,68764.5,17189.55,85954.05,WEDNESDAY,12,Y,1,0.2178022168398537,,,XAP,Approved,-506,Cash through the bank,XAP,,Repeater,Computers,POS,XNA,Country-wide,80,Connectivity,10.0,low_normal,POS mobile without interest,365243.0,-469.0,-199.0,-229.0,-222.0,0.0
329193,1064385,116541,Cash loans,30267.585,900000.0,1030680.0,,900000.0,MONDAY,11,Y,1,,,,XNA,Refused,-254,Cash through the bank,XNA,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,60.0,low_normal,Cash X-Sell: low,,,,,,
944545,2527451,432415,Cash loans,51757.92,454500.0,529947.0,,454500.0,WEDNESDAY,15,Y,1,,,,XNA,Approved,-610,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,12.0,low_normal,Cash X-Sell: low,365243.0,-580.0,-250.0,-250.0,-242.0,1.0
953680,2042492,242412,Cash loans,11508.3,225000.0,276975.0,,225000.0,MONDAY,17,Y,1,,,,XNA,Refused,-1097,Cash through the bank,LIMIT,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,42.0,middle,Cash X-Sell: middle,,,,,,
674642,2353468,379851,Consumer loans,2219.4,16065.0,16065.0,0.0,16065.0,WEDNESDAY,7,Y,1,0.0,,,XAP,Approved,-145,Cash through the bank,XAP,,Repeater,Mobile,POS,XNA,Country-wide,80,Connectivity,10.0,high,POS mobile with interest,365243.0,-106.0,164.0,365243.0,365243.0,0.0
443598,1126166,159951,Consumer loans,19152.585,191547.0,172390.5,19156.5,191547.0,TUESDAY,11,Y,1,0.1089193252830898,,,XAP,Approved,-2913,Cash through the bank,XAP,,New,Furniture,POS,XNA,Stone,1413,Furniture,10.0,low_normal,POS industry without interest,365243.0,-2875.0,-2605.0,-2605.0,-2600.0,0.0
315098,2486464,308307,Cash loans,19872.135,450000.0,512370.0,,450000.0,THURSDAY,11,Y,1,,,,XNA,Approved,-896,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,0,XNA,36.0,low_normal,Cash Street: low,365243.0,-863.0,187.0,-743.0,-736.0,0.0
1065373,1624883,291696,Consumer loans,9664.965,81801.0,81396.0,8181.0,81801.0,SATURDAY,10,Y,1,0.09946585314615056,,,XAP,Approved,-583,Cash through the bank,XAP,,Repeater,Mobile,POS,XNA,Country-wide,50,Connectivity,12.0,high,POS mobile with interest,365243.0,-551.0,-221.0,-251.0,-246.0,0.0
571777,2637782,179521,Cash loans,27435.465,454500.0,526491.0,,454500.0,FRIDAY,16,Y,1,,,,XNA,Refused,-425,Cash through the bank,HC,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,48.0,high,Cash X-Sell: high,,,,,,
482786,2349635,112129,Revolving loans,15750.0,0.0,315000.0,,,SATURDAY,8,Y,1,,,,XAP,Approved,-1259,XNA,XAP,,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,365243.0,365243.0,365243.0,365243.0,365243.0,0.0
25414,1943200,323252,Cash loans,,0.0,0.0,,,SATURDAY,14,Y,1,,,,XNA,Canceled,-520,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
829822,2108677,134052,Revolving loans,,0.0,0.0,,,TUESDAY,9,Y,1,,,,XAP,Canceled,-142,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
613771,2313524,409034,Revolving loans,2250.0,45000.0,45000.0,,45000.0,SATURDAY,13,Y,1,,,,XAP,Approved,-521,XNA,XAP,"Spouse, partner",Repeater,XNA,Cards,walk-in,AP+ (Cash loan),6,XNA,0.0,XNA,Card Street,365243.0,365243.0,365243.0,365243.0,365243.0,0.0
874685,1597800,211931,Consumer loans,10670.04,80010.0,58963.5,24003.0,80010.0,SUNDAY,17,Y,1,0.3150843905782343,,,XAP,Approved,-783,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Regional / Local,164,Consumer electronics,6.0,low_normal,POS household with interest,365243.0,-752.0,-602.0,-752.0,-746.0,0.0
928711,2280382,221314,Cash loans,12511.665,90000.0,109480.5,0.0,90000.0,FRIDAY,14,Y,1,0.0,,,XNA,Approved,-1820,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,high,Cash X-Sell: high,365243.0,-1790.0,-1460.0,-1460.0,-1454.0,1.0
1656297,2280287,387259,Consumer loans,15617.52,134370.0,130909.5,13437.0,134370.0,THURSDAY,9,Y,1,0.101381845389078,,,XAP,Approved,-2519,Cash through the bank,XAP,Family,Repeater,Audio/Video,POS,XNA,Regional / Local,160,Consumer electronics,10.0,middle,POS household with interest,365243.0,-2488.0,-2218.0,-2248.0,-2243.0,1.0
850283,2410966,132599,Consumer loans,6048.765,44991.0,49743.0,0.0,44991.0,TUESDAY,10,Y,1,0.0,,,XAP,Approved,-1105,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Country-wide,1800,Consumer electronics,12.0,high,POS household with interest,365243.0,-1074.0,-744.0,-1074.0,-1072.0,0.0
866016,1447177,317709,Revolving loans,9000.0,0.0,180000.0,,,WEDNESDAY,11,Y,1,,,,XAP,Approved,-2869,XNA,XAP,,Repeater,XNA,Cards,x-sell,Country-wide,24,Connectivity,0.0,XNA,Card Street,-2848.0,-2813.0,365243.0,-1442.0,365243.0,0.0
668697,1245480,312332,Cash loans,9170.55,45000.0,46485.0,0.0,45000.0,MONDAY,14,Y,1,0.0,,,XNA,Approved,-1907,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,6.0,high,Cash X-Sell: high,365243.0,-1877.0,-1727.0,-1727.0,-1719.0,1.0
775327,1104229,260093,Consumer loans,6800.445,67954.5,61155.0,6799.5,67954.5,WEDNESDAY,10,Y,1,0.10897399931371188,,,XAP,Approved,-2598,XNA,XAP,Unaccompanied,New,Consumer Electronics,POS,XNA,Stone,45,Consumer electronics,12.0,high,POS household with interest,365243.0,-2561.0,-2231.0,-2231.0,-2223.0,0.0
572731,2109447,448114,Cash loans,28278.675,135000.0,139455.0,,135000.0,MONDAY,13,Y,1,,,,Other,Refused,-505,Cash through the bank,HC,,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,high,Cash Street: high,,,,,,
26845,1620873,156717,Consumer loans,19447.11,99891.0,105165.0,0.0,99891.0,TUESDAY,13,Y,1,0.0,,,XAP,Approved,-571,Cash through the bank,XAP,Family,Repeater,Audio/Video,POS,XNA,Country-wide,1100,Consumer electronics,6.0,middle,POS household with interest,365243.0,-540.0,-390.0,-480.0,-475.0,0.0
1432785,2189986,361681,Cash loans,8086.32,67500.0,80928.0,,67500.0,THURSDAY,9,Y,1,,,,XNA,Approved,-629,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,middle,Cash X-Sell: middle,365243.0,-599.0,-269.0,-269.0,-262.0,1.0
167298,1311840,257989,Cash loans,34767.495,675000.0,767664.0,,675000.0,FRIDAY,6,Y,1,,,,XNA,Approved,-431,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,48.0,middle,Cash X-Sell: middle,365243.0,-401.0,1009.0,-221.0,-212.0,1.0
1513779,2338556,295034,Revolving loans,11250.0,0.0,225000.0,,,TUESDAY,14,Y,1,,,,XAP,Refused,-822,XNA,HC,,Repeater,XNA,Cards,x-sell,AP+ (Cash loan),4,XNA,0.0,XNA,Card X-Sell,,,,,,
