,SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
3479559,2702436,427185,-4,0.0,270000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1613341,1543839,122958,-78,161929.98,180000,0.0,0.0,0.0,0.0,10800.0,10800.0,10800.0,155484.54,161929.98,161929.98,0.0,0,0.0,0.0,33.0,Active,0,0
1337936,2391602,394017,-6,46424.205,45000,0.0,0.0,0.0,0.0,2250.0,2250.0,2250.0,44815.365,46424.205,46424.205,0.0,0,0.0,0.0,87.0,Active,0,0
1734509,1566309,201771,-7,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1330600,1624642,188742,-18,33580.485,67500,0.0,0.0,0.0,0.0,4050.0,4365.0,4365.0,32075.64,33580.485,33580.485,0.0,0,0.0,0.0,85.0,Active,0,0
264314,1846041,300853,-9,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
3064723,1143378,275219,-17,441645.525,450000,0.0,0.0,0.0,0.0,22806.225,23040.0,23040.0,433084.41,441645.525,441645.525,0.0,0,0.0,0.0,20.0,Active,0,0
1299805,1130654,402103,-10,86016.24,90000,20250.0,20250.0,0.0,0.0,4500.0,9000.0,9000.0,81585.99,86016.24,86016.24,1.0,1,0.0,0.0,81.0,Active,0,0
3637669,2094641,319071,-8,0.0,67500,0.0,0.0,0.0,0.0,0.0,513.225,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,66.0,Active,0,0
354312,1545163,213728,-68,151082.19,157500,0.0,0.0,0.0,0.0,7875.0,11250.0,11250.0,146342.655,151082.19,151082.19,0.0,0,0.0,0.0,24.0,Active,0,0
2394344,2585593,453982,-51,0.0,180000,0.0,0.0,0.0,0.0,0.0,263.79,0.0,0.0,-263.79,-263.79,0.0,0,0.0,0.0,47.0,Active,0,0
1221571,1567890,103722,-17,589515.93,585000,0.0,12386.25,0.0,12386.25,29225.52,31500.0,31500.0,565396.965,589515.93,589515.93,0.0,4,0.0,4.0,9.0,Active,0,0
1723549,1889930,360671,-35,0.0,135000,0.0,0.0,0.0,0.0,0.0,304.875,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,34.0,Active,0,0
1800838,1002825,232285,-56,0.0,90000,0.0,0.0,0.0,0.0,0.0,282.105,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,46.0,Active,0,0
1624149,1398470,102676,-13,0.0,0,,0.0,,,0.0,135.0,135.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1001252,1107112,280230,-76,192648.645,180000,2700.0,2700.0,0.0,0.0,9000.0,0.0,0.0,179985.6,192648.645,192648.645,1.0,1,0.0,0.0,24.0,Active,1,1
717310,2524217,246160,-25,0.0,450000,0.0,0.0,0.0,0.0,0.0,347.22,347.22,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,Active,0,0
2111027,2518485,275728,-7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,20.0,Completed,0,0
936688,2712421,251005,-64,96985.125,135000,9000.0,9000.0,0.0,0.0,6750.0,0.0,0.0,75350.205,96985.125,96985.125,2.0,2,0.0,0.0,10.0,Active,1,1
11476,1411785,258900,-4,449747.415,445500,9000.0,9000.0,0.0,0.0,22173.57,22500.0,22500.0,429971.67,445091.13,445091.13,1.0,1,0.0,0.0,26.0,Active,0,0
2368894,1187597,442655,-77,0.0,135000,,0.0,,,,,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
77625,2645319,156047,-15,0.0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1391350,1105570,223009,-80,0.0,135000,0.0,0.0,0.0,0.0,0.0,645.57,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,11.0,Active,0,0
1980404,1237711,438443,-60,0.0,0,0.0,0.0,0.0,0.0,0.0,4257.945,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,14.0,Active,0,0
1603430,2536050,255946,-76,0.0,180000,0.0,0.0,0.0,0.0,0.0,233.325,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,13.0,Active,0,0
2076792,2716072,206987,-15,0.0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
3063966,2438671,341793,-48,100110.42,112500,0.0,0.0,0.0,0.0,5625.0,9000.0,9000.0,96057.945,99642.825,99642.825,0.0,0,0.0,0.0,35.0,Active,0,0
554374,2783799,198756,-23,290138.715,270000,270000.0,270000.0,0.0,0.0,13389.435,0.0,0.0,268176.33,273992.715,273992.715,12.0,12,0.0,0.0,8.0,Active,0,0
1390372,1126368,162728,-86,0.0,112500,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
2664629,1925946,449647,-44,0.0,0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1.0,Active,0,0
1563684,2199821,239560,-23,0.0,112500,0.0,0.0,0.0,0.0,0.0,115.965,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,57.0,Active,0,0
895377,2653744,283897,-9,0.0,450000,0.0,0.0,0.0,0.0,0.0,4.41,4.41,0.0,0.0,0.0,0.0,0,0.0,0.0,11.0,Active,0,0
467804,1337328,195958,-54,295.2,135000,0.0,0.0,0.0,0.0,67.5,0.0,0.0,0.0,295.2,295.2,0.0,0,0.0,0.0,38.0,Active,62,0
3660121,1249163,102638,-66,100453.005,90000,0.0,0.0,0.0,0.0,4500.0,0.0,0.0,89634.645,100453.005,100453.005,0.0,0,0.0,0.0,18.0,Active,1,1
3076543,1308979,286819,-10,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
358553,1613410,344167,-34,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,Active,0,0
3615047,1797824,269914,-95,81018.315,112500,0.0,0.0,0.0,0.0,6750.0,9000.0,9000.0,77703.795,81018.315,81018.315,0.0,0,0.0,0.0,20.0,Active,0,0
3659079,1330799,312062,-40,249892.92,270000,0.0,0.0,0.0,0.0,13500.0,13500.0,13500.0,241832.925,249892.92,249892.92,0.0,0,0.0,0.0,57.0,Active,0,0
2895106,1562959,436909,-41,0.0,112500,0.0,0.0,0.0,0.0,0.0,13775.175,0.0,0.0,-13775.175,-13775.175,0.0,0,0.0,0.0,29.0,Active,0,0
3836274,2512301,452608,-27,0.0,0,0.0,0.0,0.0,0.0,0.0,94.995,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,26.0,Active,0,0
2827583,1306426,118412,-68,59640.66,67500,0.0,0.0,0.0,0.0,3375.0,3375.0,3375.0,57257.055,59640.66,59640.66,0.0,0,0.0,0.0,11.0,Active,0,0
3030572,1405200,419063,-48,0.0,180000,0.0,0.0,0.0,0.0,0.0,204.12,0.0,0.0,-1018.395,-1018.395,0.0,0,0.0,0.0,15.0,Active,0,0
538118,1660762,196725,-9,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
3124841,2736746,345713,-78,0.0,180000,0.0,0.0,0.0,0.0,590.625,1659.915,594.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,Active,0,0
2833749,1592389,423474,-61,128701.935,135000,4500.0,4500.0,0.0,0.0,6750.0,20250.0,20250.0,122499.81,128701.935,128701.935,1.0,1,0.0,0.0,25.0,Active,0,0
816115,1024741,202459,-70,0.0,67500,,0.0,,,,,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
1544713,2439032,278606,-13,0.0,225000,0.0,0.0,0.0,0.0,0.0,579.195,579.195,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,Active,0,0
512063,2248428,306336,-59,160861.05,157500,0.0,0.0,0.0,0.0,7875.0,15750.0,15750.0,154791.855,160861.05,160861.05,0.0,0,0.0,0.0,28.0,Active,0,0
2078668,1032540,186463,-11,0.0,0,0.0,0.0,0.0,0.0,0.0,157.32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,19.0,Active,0,0
29000,1295283,187775,-8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,8.0,Completed,0,0
3095981,2083072,192970,-26,177680.97,270000,0.0,0.0,0.0,0.0,9558.45,11025.0,1734.705,174780.45,177680.97,177680.97,0.0,0,0.0,0.0,13.0,Active,0,0
2549736,1463036,407185,-48,104679.81,180000,0.0,0.0,0.0,0.0,9000.0,9000.0,9000.0,99491.49,104679.81,104679.81,0.0,0,0.0,0.0,28.0,Active,0,0
72329,2428280,165027,-6,0.0,45000,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,66.0,Active,0,0
3346463,2450108,396765,-10,0.0,202500,0.0,23400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Active,0,0
354630,2823313,375319,-6,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1760826,1510424,103396,-3,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
2777075,2015344,256040,-82,0.0,135000,0.0,0.0,0.0,0.0,0.0,134.325,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.0,Active,0,0
2727482,1721777,398506,-41,0.0,45000,0.0,0.0,0.0,0.0,0.0,165.42,0.0,0.0,-165.42,-165.42,0.0,0,0.0,0.0,31.0,Active,0,0
3396798,2321524,242608,-36,0.0,67500,0.0,0.0,0.0,0.0,0.0,140.805,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,39.0,Active,0,0
2084488,1905843,183423,-49,0.0,90000,0.0,0.0,0.0,0.0,0.0,551.385,0.0,0.0,-551.385,-551.385,0.0,0,0.0,0.0,42.0,Active,0,0
2847476,1932258,223671,-3,183773.79,180000,0.0,0.0,0.0,0.0,0.0,9675.0,117.855,179848.89,183773.79,183773.79,0.0,0,0.0,0.0,0.0,Active,0,0
3703208,1779964,141202,-32,0.0,450000,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,Active,0,0
136498,1334532,381747,-16,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1681264,1201527,118274,-16,251.955,450000,0.0,57802.95,0.0,57802.95,10970.415,333000.0,319260.015,0.0,0.0,0.0,0.0,4,0.0,4.0,10.0,Active,0,0
18313,2792284,146242,-7,0.0,405000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
689025,2425066,335483,-21,252.405,112500,0.0,0.0,0.0,0.0,144.045,22.14,0.0,0.0,252.405,252.405,0.0,0,0.0,0.0,74.0,Active,1,0
3499048,1329421,292166,-11,441794.52,450000,0.0,0.0,0.0,0.0,22052.43,22054.5,22052.43,425412.81,441794.52,441794.52,0.0,0,0.0,0.0,5.0,Active,0,0
3185038,1127217,212577,-32,0.0,0,0.0,0.0,0.0,0.0,0.0,565.875,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,15.0,Active,0,0
1051399,2199039,190977,-43,0.0,0,,0.0,,,,,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
1565232,2391592,376382,-68,0.0,90000,0.0,0.0,0.0,0.0,0.0,3.915,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,17.0,Active,0,0
311582,1104090,259807,-13,0.0,45000,0.0,0.0,0.0,0.0,0.0,54025.92,52250.4,0.0,0.0,0.0,0.0,0,0.0,0.0,9.0,Active,0,0
2939467,1719891,148837,-7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,Active,0,0
2482040,1617464,350117,-76,68864.985,67500,0.0,0.0,0.0,0.0,3375.0,3375.0,3375.0,66777.57,68864.985,68864.985,0.0,0,0.0,0.0,14.0,Active,0,0
598529,2458576,191836,-3,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
2838109,2104342,172560,-12,0.0,157500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,69.0,Completed,0,0
1207865,2259040,310469,-60,172490.85,180000,0.0,0.0,0.0,0.0,9000.0,9045.0,9045.0,166985.775,172490.85,172490.85,0.0,0,0.0,0.0,41.0,Active,0,0
83135,1537293,267447,-27,0.0,90000,0.0,0.0,0.0,0.0,0.0,562.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,34.0,Active,0,0
511158,1914901,166272,-17,93239.415,225000,0.0,0.0,0.0,0.0,4765.545,4950.0,4950.0,90000.0,93932.415,93932.415,0.0,0,0.0,0.0,5.0,Active,0,0
31290,2127445,413230,-60,27891.18,135000,0.0,0.0,0.0,0.0,6750.0,6750.0,6750.0,25331.805,27891.18,27891.18,0.0,0,0.0,0.0,35.0,Active,0,0
467741,2475947,399573,-22,0.0,135000,0.0,0.0,0.0,0.0,0.0,1687.185,1687.185,0.0,0.0,0.0,0.0,0,0.0,0.0,13.0,Active,0,0
2931829,1245652,113592,-7,72104.4,67500,45000.0,65822.4,0.0,20822.4,0.0,,0.0,65822.4,65822.4,65822.4,4.0,11,0.0,7.0,0.0,Active,0,0
1678472,2575675,160657,-89,57032.325,90000,0.0,0.0,0.0,0.0,5400.0,5400.0,5400.0,54729.0,57032.325,57032.325,0.0,0,0.0,0.0,24.0,Active,0,0
3719934,1691771,179352,-37,0.0,225000,,0.0,,,,,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
3380775,1635902,347940,-9,0.0,202500,0.0,28768.77,0.0,28768.77,2250.0,29977.2,29977.2,0.0,0.0,0.0,0.0,7,0.0,7.0,1.0,Active,0,0
3078192,2755051,448014,-33,0.0,450000,,0.0,,,,,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
1066038,2841792,104082,-15,0.0,45000,0.0,0.0,0.0,0.0,0.0,203.76,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7.0,Active,0,0
1471044,1150552,444069,-28,0.0,90000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
3057079,2689701,300996,-16,0.0,270000,0.0,0.0,0.0,0.0,0.0,675.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,55.0,Active,0,0
3649204,2306898,325526,-2,692124.66,765000,0.0,0.0,0.0,0.0,36799.515,68850.0,68850.0,667140.615,691679.16,691679.16,0.0,0,0.0,0.0,14.0,Active,0,0
1264886,1927835,270172,-39,0.0,0,0.0,0.0,0.0,0.0,0.0,694.89,0.0,0.0,-694.89,-694.89,0.0,0,0.0,0.0,31.0,Active,0,0
3132802,1954071,448281,-50,46029.825,45000,0.0,0.0,0.0,0.0,2250.0,2250.0,2250.0,42750.0,50104.44,50104.44,0.0,0,0.0,0.0,35.0,Active,0,0
1860960,1493043,386828,-23,0.0,67500,0.0,0.0,0.0,0.0,0.0,159.345,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,29.0,Active,0,0
3110792,1414176,264113,-38,65.43,90000,0.0,0.0,0.0,0.0,1080.63,2.07,0.0,0.0,67.5,67.5,0.0,0,0.0,0.0,27.0,Active,0,0
3501381,1556503,336877,-49,67640.265,67500,1350.0,1350.0,0.0,0.0,3375.0,3375.0,3375.0,64483.245,67640.265,67640.265,1.0,1,0.0,0.0,53.0,Active,0,0
2919970,2672910,304655,-33,0.0,0,0.0,0.0,0.0,0.0,0.0,121.905,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,8.0,Active,0,0
1319319,2835561,344129,-32,0.0,0,,0.0,,,,,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
2681131,1545612,223691,-19,93449.835,225000,0.0,0.0,0.0,0.0,6631.92,22500.0,22500.0,87637.95,93449.835,93449.835,0.0,0,0.0,0.0,6.0,Active,0,0
1719555,2486499,285360,-11,282473.46,382500,0.0,131040.0,131040.0,0.0,7506.18,8100.0,8100.0,273063.825,279782.46,279782.46,0.0,2,2.0,0.0,7.0,Active,0,0
2399688,2387476,157680,-27,0.0,45000,0.0,0.0,0.0,0.0,1999.8,250.2,250.2,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,Active,0,0
1053645,2363162,328971,-40,0.0,0,0.0,0.0,0.0,0.0,0.0,9.27,0.0,0.0,-9.27,-9.27,0.0,0,0.0,0.0,16.0,Active,0,0
3127644,2113319,310414,-12,759801.105,765000,18000.0,18000.0,0.0,0.0,39930.3,78795.0,78795.0,737811.045,757110.105,757110.105,2.0,2,0.0,0.0,17.0,Active,0,0
131898,1136395,253793,-6,0.0,135000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1853383,2316116,400432,-15,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
501210,1705468,221579,-24,0.0,67500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,31.0,Active,0,0
361416,1845510,443715,-5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,16.0,Completed,0,0
1946203,1327850,351424,-17,0.0,90000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,53.0,Completed,0,0
2952335,1036048,336847,-13,0.0,450000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
3589958,2427794,113856,-43,0.0,112500,0.0,0.0,0.0,0.0,0.0,4856.805,0.0,0.0,-4924.305,-4924.305,0.0,0,0.0,0.0,17.0,Active,0,0
620540,1378382,312969,-85,128094.66,135000,0.0,0.0,0.0,0.0,8100.0,8100.0,8100.0,123008.67,128094.66,128094.66,0.0,0,0.0,0.0,24.0,Active,0,0
1595785,1001365,271220,-58,0.0,135000,0.0,0.0,0.0,0.0,0.0,4.995,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,35.0,Active,0,0
843726,1705864,208194,-38,67.5,67500,0.0,0.0,0.0,0.0,438.615,504.855,0.0,0.0,1.26,1.26,0.0,0,0.0,0.0,40.0,Active,0,0
2859242,1843166,106329,-5,0.0,45000,0.0,0.0,0.0,0.0,0.0,10.53,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.0,Active,0,0
2018119,2015472,147617,-22,0.0,0,,0.0,,,,,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
1827379,1230610,440600,-2,0.0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Completed,0,0
1479435,2444641,226691,-2,412830.045,900000,67500.0,207250.605,0.0,139750.605,13089.915,45000.0,28869.435,411094.71,412830.045,412830.045,1.0,5,0.0,4.0,1.0,Active,0,0
1538813,1062095,276727,-5,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
2763914,1801451,157198,-39,0.0,67500,0.0,0.0,0.0,0.0,0.0,896.67,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,24.0,Active,0,0
834123,1130687,366002,-53,189425.97,180000,900.0,900.0,0.0,0.0,9000.0,9000.0,9000.0,179935.02,189425.97,189425.97,2.0,2,0.0,0.0,31.0,Active,0,0
1881276,1598398,251346,-53,0.0,0,,0.0,,,,,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
563025,2832201,185645,-43,133181.19,135000,0.0,3594.195,0.0,3594.195,6750.0,6750.0,6750.0,128049.075,133181.19,133181.19,0.0,2,0.0,2.0,39.0,Active,0,0
3493684,1644694,195275,-30,0.0,180000,0.0,0.0,0.0,0.0,117.45,18188.595,18188.595,0.0,0.0,0.0,0.0,0,0.0,0.0,17.0,Active,0,0
629050,2378377,240915,-15,188202.015,180000,3600.0,3600.0,0.0,0.0,9000.0,9000.0,9000.0,179873.19,188202.015,188202.015,1.0,1,0.0,0.0,67.0,Active,0,0
2368692,2671254,141298,-85,77234.58,112500,0.0,0.0,0.0,0.0,5625.0,5625.0,5625.0,74368.035,77234.58,77234.58,0.0,0,0.0,0.0,15.0,Active,0,0
3297103,1878697,191795,-34,2077.92,67500,0.0,0.0,0.0,0.0,3375.0,9225.0,9225.0,2002.32,2077.92,2077.92,0.0,0,0.0,0.0,30.0,Active,0,0
378522,2234062,200319,-18,230121.9,450000,0.0,0.0,0.0,0.0,11744.1,13500.0,13500.0,221382.225,230121.9,230121.9,0.0,0,0.0,0.0,11.0,Active,0,0
2821961,2247926,169197,-19,0.0,225000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
811061,1652971,195921,-7,0.0,0,0.0,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,76.0,Active,0,0
636934,1460083,263969,-82,86454.405,90000,0.0,0.0,0.0,0.0,4500.0,4500.0,4500.0,83117.025,86454.405,86454.405,0.0,0,0.0,0.0,3.0,Active,0,0
178647,2405127,207076,-90,87675.84,112500,0.0,0.0,0.0,0.0,5625.0,5625.0,5625.0,84631.545,87675.84,87675.84,0.0,0,0.0,0.0,15.0,Active,0,0
2449506,2629171,440893,-67,0.0,135000,,0.0,,,,,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
2081357,2269863,428711,-14,0.0,900000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
2861811,1075048,184111,-23,0.0,450000,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,Active,0,0
2941323,1386381,418007,-17,0.0,450000,0.0,0.0,0.0,0.0,0.0,22950.0,20700.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,Active,0,0
857911,2701375,392427,-24,154414.89,180000,0.0,0.0,0.0,0.0,9000.0,9000.0,9000.0,149218.695,154414.89,154414.89,0.0,0,0.0,0.0,55.0,Active,0,0
2847898,2050314,388907,-6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,16.0,Completed,0,0
1365906,1645598,410877,-12,0.0,67500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,11.0,Completed,0,0
962748,1235579,250592,-86,47250.0,45000,45000.0,45000.0,0.0,0.0,,0.0,0.0,45000.0,47250.0,47250.0,2.0,2,0.0,0.0,,Signed,0,0
2960491,2256212,198309,-16,0.0,67500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,40.0,Completed,0,0
1403500,1102649,447386,-28,0.0,0,0.0,0.0,0.0,0.0,0.0,211.41,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,18.0,Active,0,0
1036911,2682006,322700,-3,0.0,315000,0.0,0.0,0.0,0.0,0.0,242.91,242.91,0.0,0.0,0.0,0.0,0,0.0,0.0,14.0,Active,0,0
1008083,1476601,323969,-13,0.0,270000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
913763,2526116,238481,-7,0.0,0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,30.0,Active,0,0
877534,2119151,398948,-35,386715.6,450000,0.0,0.0,0.0,0.0,20083.14,24975.0,24975.0,376688.115,386715.6,386715.6,0.0,0,0.0,0.0,7.0,Active,0,0
650718,2611372,366772,-5,165244.185,450000,0.0,60087.375,0.0,60087.375,6442.74,22500.0,22500.0,161941.95,165244.185,165244.185,0.0,11,0.0,11.0,2.0,Active,0,0
2334802,1001479,337250,-89,124392.375,135000,0.0,0.0,0.0,0.0,6750.0,6750.0,6750.0,119506.95,124392.375,124392.375,0.0,0,0.0,0.0,8.0,Active,0,0
2216704,2078225,425512,-57,0.0,0,,0.0,,,,,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
