,SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
1423260,387935,6736854,Active,currency 1,-196,0,900.0,,,0,675000.0,603139.5,,0.0,Consumer credit,-15,
1694819,220993,6680414,Active,currency 1,-248,0,1578.0,,,0,292500.0,272803.5,0.0,0.0,Consumer credit,-26,
328084,139087,5540361,Closed,currency 1,-2874,0,-2509.0,-2598.0,0.0,0,113273.46,,,0.0,Consumer credit,-562,
790717,106424,6501898,Active,currency 1,-242,0,3410.0,,,0,9675000.0,9536917.5,0.0,0.0,Mortgage,-55,
129505,159821,6570244,Closed,currency 1,-1168,0,-986.0,-985.0,,0,45000.0,0.0,0.0,0.0,Consumer credit,-985,
149874,350805,6549867,Closed,currency 1,-1521,0,-402.0,-331.0,,0,0.0,0.0,,0.0,Credit card,-152,
201421,301947,5832019,Closed,currency 1,-1228,0,-704.0,-703.0,,0,189000.0,0.0,0.0,0.0,Credit card,-692,
880499,452872,6800382,Active,currency 1,-1209,0,969.0,,,0,324000.0,79690.5,0.0,0.0,Credit card,-139,
1002053,370623,5454344,Closed,currency 1,-1328,0,-774.0,-1315.0,,0,585000.0,0.0,0.0,0.0,Consumer credit,-1026,42417.0
589144,274838,5490550,Closed,currency 1,-556,0,-280.0,-280.0,0.0,0,50413.59,0.0,0.0,0.0,Consumer credit,-277,
1377710,109232,5388179,Closed,currency 1,-210,0,-183.0,-187.0,,0,45000.0,0.0,,0.0,Consumer credit,-184,
820983,258415,6795437,Active,currency 1,-2432,0,,,0.0,0,0.0,442970.19,0.0,0.0,Credit card,-42,
1664557,220322,6650680,Closed,currency 1,-2183,0,-1817.0,-904.0,,0,136687.5,,,0.0,Consumer credit,-901,
163526,422006,6252660,Closed,currency 1,-242,0,-229.0,-237.0,,0,22500.0,0.0,,0.0,Consumer credit,-125,
617385,398415,6404784,Active,currency 1,-569,0,161.0,,,0,157500.0,0.0,,0.0,Credit card,-1,
1554910,313609,5624185,Active,currency 1,-2506,0,-1403.0,,0.0,0,112500.0,0.0,0.0,0.0,Credit card,-467,
1150250,347096,5609698,Active,currency 1,-77,0,31071.0,,,0,53460.0,46746.0,0.0,0.0,Credit card,-13,19773.0
1111370,413509,6119930,Closed,currency 1,-1606,0,-1210.0,-1359.0,0.0,0,152041.5,0.0,0.0,0.0,Consumer credit,-1359,
1557851,432101,5627679,Closed,currency 1,-1381,0,-1267.0,-1267.0,0.0,0,46558.8,0.0,0.0,0.0,Consumer credit,-1267,
1041131,205212,5767774,Closed,currency 1,-1217,0,-666.0,-669.0,,0,36000.0,0.0,0.0,0.0,Consumer credit,-668,
1345199,410120,6624562,Closed,currency 1,-945,0,-844.0,-844.0,,0,26446.5,0.0,0.0,0.0,Consumer credit,-716,0.0
712990,219977,5151256,Active,currency 1,-1239,0,932.0,,,0,333000.0,336217.5,0.0,0.0,Credit card,-8,
1231848,271941,5909834,Closed,currency 1,-458,0,-92.0,-88.0,,0,294750.0,0.0,,0.0,Consumer credit,-79,
1017473,168320,5978586,Closed,currency 1,-2498,0,-672.0,-1273.0,,0,318060.0,0.0,,0.0,Consumer credit,-1271,34108.38
1141887,409430,5875153,Active,currency 1,-2268,0,-57.0,,,0,67500.0,,,0.0,Credit card,-4,0.0
1672550,321475,5728169,Closed,currency 1,-527,0,934.0,-418.0,,0,679500.0,0.0,0.0,0.0,Consumer credit,-99,
457523,431574,5039256,Closed,currency 1,-1143,0,,-276.0,948.51,0,168750.0,0.0,0.0,0.0,Credit card,-272,
1669068,283002,5601727,Active,currency 1,-894,0,31093.0,,,0,67500.0,56493.0,0.0,0.0,Credit card,-15,
674244,233580,6157121,Closed,currency 1,-1192,0,-826.0,-826.0,,0,76032.0,0.0,,0.0,Consumer credit,-821,
61487,237965,5240321,Closed,currency 1,-2900,0,-2688.0,-2717.0,0.0,0,39540.06,0.0,0.0,0.0,Consumer credit,-2717,
380254,229918,5175752,Closed,currency 1,-1678,0,-1341.0,-1341.0,,0,161869.5,0.0,,0.0,Consumer credit,-1146,
424426,112402,5745439,Closed,currency 1,-1282,0,-1101.0,-1087.0,,0,20160.0,0.0,,0.0,Consumer credit,-1087,
816492,371434,6391419,Active,currency 1,-698,0,1128.0,,30091.5,0,1125000.0,,,0.0,Consumer credit,-27,
157444,105002,6596257,Closed,currency 1,-285,0,,-205.0,0.0,0,136779.075,0.0,0.0,0.0,Credit card,-201,
1574107,327324,5758457,Closed,currency 1,-1227,0,,-149.0,0.0,0,121500.0,0.0,0.0,0.0,Credit card,-144,
206031,100037,5837517,Closed,currency 1,-2379,0,-2225.0,-2252.0,0.0,0,90000.0,0.0,0.0,0.0,Consumer credit,-2243,0.0
60260,138566,5238781,Closed,currency 1,-1236,0,-1114.0,-1113.0,0.0,0,39588.975,,,0.0,Consumer credit,-1113,
118735,149657,5014021,Active,currency 1,-135,0,50.0,,0.0,0,45850.5,16492.5,0.0,0.0,Consumer credit,-12,
1315254,426403,5184005,Closed,currency 1,-380,0,-15.0,-15.0,,0,108247.5,0.0,0.0,0.0,Consumer credit,-13,
580394,419701,6308656,Active,currency 1,-1525,0,672.0,,,0,135000.0,130536.0,0.0,0.0,Credit card,-12,
94480,131466,5207496,Active,currency 1,-1043,0,784.0,,,0,1215000.0,673591.5,0.0,0.0,Consumer credit,-34,
1297879,341717,6342513,Closed,currency 1,-1832,0,-1717.0,-1708.0,,0,28642.5,0.0,0.0,0.0,Consumer credit,-1021,0.0
601742,435583,5146002,Active,currency 1,-1730,0,-1041.0,,0.0,0,0.0,0.0,0.0,0.0,Credit card,-697,0.0
638820,248819,6229667,Closed,currency 1,-241,0,-57.0,-29.0,,0,220000.5,,,0.0,Consumer credit,-23,0.0
1505159,444165,5988581,Closed,currency 1,-1825,0,-1640.0,-1632.0,,0,94914.0,0.0,0.0,0.0,Consumer credit,-944,35950.5
560588,342147,6092990,Active,currency 1,-1218,0,609.0,,,0,292500.0,133393.5,0.0,0.0,Consumer credit,-24,
226763,109842,5050127,Closed,currency 1,-71,0,477.0,-10.0,0.0,0,84991.5,0.0,0.0,0.0,Consumer credit,-10,
1378034,207305,5388595,Active,currency 1,-1257,0,,,,0,83700.0,0.0,,0.0,Credit card,-855,
552121,130778,5046504,Closed,currency 1,-1951,0,-848.0,-1202.0,,0,135000.0,0.0,,0.0,Credit card,-1194,10521.63
624698,102584,5689885,Closed,currency 1,-1935,0,-1386.0,-1385.0,,0,450000.0,0.0,0.0,0.0,Consumer credit,-362,
780822,332871,6268864,Closed,currency 1,-1697,0,789.0,-752.0,0.0,0,4500.0,-0.585,4500.585,0.0,Credit card,-752,
1679670,199136,6655656,Closed,currency 1,-852,0,,-40.0,0.0,0,150750.0,0.0,0.0,0.0,Credit card,-35,
1550388,138097,6620215,Active,currency 1,-1565,0,260.0,,,0,333000.0,66478.5,0.0,0.0,Consumer credit,-69,
1281102,155479,5652717,Closed,currency 1,-579,0,-489.0,-489.0,0.0,0,61179.975,0.0,0.0,0.0,Consumer credit,-486,
789775,169080,6500759,Closed,currency 1,-823,0,-458.0,-458.0,0.0,0,121763.115,0.0,0.0,0.0,Consumer credit,-452,0.0
117785,210974,5012856,Active,currency 1,-308,0,1518.0,,,0,1335204.0,,,0.0,Consumer credit,-33,
1211511,447898,5782826,Closed,currency 1,-2068,0,-1317.0,-1003.0,,0,90000.0,,,0.0,Credit card,-1002,
1303795,425197,5424777,Closed,currency 1,-2101,0,-1733.0,-1706.0,,0,142708.5,0.0,0.0,0.0,Consumer credit,-804,42300.0
1261115,436137,6815042,Closed,currency 1,-2776,0,-2045.0,-2045.0,,0,144000.0,0.0,0.0,0.0,Consumer credit,-1500,
1274427,172443,6206122,Closed,currency 1,-2726,0,-2350.0,-2335.0,,0,83250.0,,,0.0,Consumer credit,-2335,0.0
1180122,356390,5521197,Active,currency 1,-2344,0,957.0,,,0,275850.0,0.0,,0.0,Credit card,-7,
1150524,188795,5610009,Active,currency 1,-759,0,336.0,,,0,450000.0,,,0.0,Consumer credit,-28,
1593804,259485,5594054,Closed,currency 1,-2586,0,-2036.0,-2037.0,,0,472500.0,0.0,,0.0,Consumer credit,-2031,
126226,115792,5244331,Active,currency 1,-980,0,116.0,,,0,900000.0,0.0,,0.0,Credit card,-324,
63110,392534,5001936,Closed,currency 1,-1237,0,-141.0,-441.0,,0,450000.0,0.0,,0.0,Consumer credit,-439,0.0
1300387,221151,5420431,Active,currency 1,-558,0,-184.0,,,0,152820.0,29587.5,0.0,0.0,Consumer credit,-244,
1345484,271455,6624878,Closed,currency 1,-1407,0,416.0,-165.0,,0,652500.0,0.0,0.0,0.0,Consumer credit,-163,
1312206,359314,5435226,Active,currency 1,-318,0,17.0,,0.0,0,102349.53,86344.56,0.0,0.0,Consumer credit,-167,
43678,172467,5214110,Active,currency 1,-519,0,241.0,,0.0,0,79058.88,0.0,0.0,0.0,Consumer credit,-501,
435005,156733,5937153,Closed,currency 1,-803,0,10095.0,-193.0,0.0,0,0.0,,,0.0,Credit card,-193,
1649181,174213,5560490,Active,currency 1,-1158,0,-519.0,,,0,4500.0,0.0,4500.0,0.0,Credit card,-182,
1173935,195257,5950180,Closed,currency 1,-336,0,29.0,-274.0,,0,114750.0,0.0,0.0,0.0,Consumer credit,-251,
96718,283613,6538254,Active,currency 1,-782,0,313.0,,,0,290695.5,125581.5,0.0,0.0,Consumer credit,-48,
1390753,102204,6607353,Closed,currency 1,-881,0,-575.0,-575.0,0.0,0,25200.0,0.0,0.0,0.0,Consumer credit,-569,
576428,399434,6303922,Active,currency 1,-177,0,1669.0,,,0,405000.0,363748.5,,0.0,Credit card,-10,22905.0
381100,187252,5176808,Active,currency 1,-765,0,,,0.0,0,495000.0,471357.0,23643.0,0.0,Credit card,-12,
1083783,119625,6219959,Closed,currency 1,-898,0,-715.0,-745.0,6242.985,0,38677.5,0.0,0.0,0.0,Consumer credit,-745,
980908,402379,6212832,Active,currency 1,-228,0,506.0,,,0,284400.0,218614.5,,0.0,Consumer credit,-10,8415.0
63962,162109,5002920,Closed,currency 1,-827,0,-735.0,-763.0,,0,40968.0,0.0,0.0,0.0,Consumer credit,-762,0.0
165126,250636,6254517,Closed,currency 1,-2453,0,-2127.0,-1214.0,,0,227893.5,,,0.0,Consumer credit,-1211,0.0
1336923,304246,6822323,Closed,currency 1,-748,0,-383.0,-374.0,,0,180000.0,0.0,0.0,0.0,Consumer credit,-357,
113134,428948,6031056,Active,currency 1,-142,0,,,0.0,0,45000.0,41026.5,3970.215,0.0,Credit card,-22,4500.0
1443901,431055,6699405,Closed,currency 1,-190,0,-174.0,-189.0,,0,18000.0,0.0,0.0,0.0,Consumer credit,-183,0.0
1269728,212699,5268221,Closed,currency 1,-1187,0,-1005.0,-1005.0,,0,79650.0,0.0,0.0,0.0,Consumer credit,-1005,
812894,337625,6387260,Active,currency 1,-119,0,,,,0,26302.5,,,0.0,Microloan,-107,34456.5
1377450,195026,5387853,Closed,currency 1,-611,0,1215.0,-307.0,,0,130500.0,0.0,0.0,0.0,Consumer credit,-280,
7835,278056,5723933,Closed,currency 1,-2412,0,-2077.0,-2136.0,3870.0,0,30985.2,0.0,0.0,0.0,Consumer credit,-2136,
1138113,218112,5870681,Active,currency 1,-230,0,716.0,,,0,67500.0,59233.5,0.0,0.0,Credit card,-27,
1359339,327556,6732170,Active,currency 1,-236,0,99.0,,,0,162000.0,62487.0,0.0,0.0,Consumer credit,-19,16321.5
1561450,222811,5632060,Active,currency 1,-334,0,762.0,,0.0,0,180000.0,148873.5,0.0,0.0,Consumer credit,-29,7870.5
352851,161136,5966369,Closed,currency 1,-786,0,-421.0,-478.0,,0,90000.0,0.0,0.0,0.0,Consumer credit,-276,
1605345,395999,5341395,Closed,currency 1,-795,0,-430.0,-468.0,,0,225000.0,0.0,,0.0,Consumer credit,-468,
1059398,274685,6473884,Closed,currency 1,-488,0,,-412.0,0.0,0,243000.0,0.0,0.0,0.0,Credit card,-95,
1263091,212555,6817321,Closed,currency 1,-2238,0,-1904.0,-1961.0,,0,34226.1,0.0,,0.0,Consumer credit,-898,
1081260,267518,6217034,Active,currency 1,-199,0,532.0,,0.0,0,178650.0,143023.5,0.0,0.0,Consumer credit,-14,7443.765
352420,360348,5965818,Closed,currency 1,-1598,0,-502.0,-1433.0,,0,247635.0,0.0,,0.0,Consumer credit,-1431,
1317618,395559,5403221,Active,currency 1,-931,0,,,,0,81000.0,0.0,0.0,0.0,Credit card,-929,
1236646,147001,5915685,Active,currency 1,-376,0,6929.0,,,0,2088000.0,2075616.0,0.0,0.0,Mortgage,-312,25272.0
65460,144237,5004622,Active,currency 1,-1984,0,8973.0,,20133.0,0,459000.0,,,0.0,Credit card,-37,20515.5
1244727,109367,5960166,Active,currency 1,-667,0,429.0,,,0,522000.0,258619.5,,0.0,Consumer credit,-7,19399.5
193406,369594,6259032,Closed,currency 1,-1466,0,-919.0,-1316.0,,0,265063.5,0.0,,0.0,Consumer credit,-488,0.0
563049,150503,6095817,Active,currency 1,-360,0,736.0,,,0,441000.0,393201.0,0.0,0.0,Consumer credit,-24,15732.0
1258236,150092,6811477,Active,currency 1,-182,0,1674.0,,,0,2288619.0,3428487.0,0.0,0.0,Consumer credit,-13,
1177010,203850,5953721,Active,currency 1,-229,0,504.0,,0.0,0,128196.0,108058.5,0.0,0.0,Consumer credit,-46,5127.84
1359923,270488,6732833,Active,currency 1,-1010,0,-323.0,,,0,225000.0,197415.0,0.0,0.0,Credit card,-179,
1102030,321839,5777203,Active,currency 1,-365,0,365.0,,0.0,0,206480.43,127471.5,0.0,0.0,Consumer credit,-18,
73879,268703,5251291,Active,currency 1,-387,0,343.0,,0.0,0,256050.0,158742.0,0.0,0.0,Consumer credit,-18,
135061,449343,5228958,Active,currency 1,-2569,0,,,0.0,0,11250.0,0.0,0.0,0.0,Credit card,-851,51735.105
409214,440865,6424281,Closed,currency 1,-1071,0,-857.0,-885.0,,0,40612.5,0.0,,0.0,Consumer credit,-840,
1492326,423604,6335142,Active,currency 1,-1336,0,-1313.0,,,0,22500.0,0.0,0.0,0.0,Credit card,-1321,
496271,122133,6442448,Closed,currency 1,-1827,0,9133.0,-1446.0,360.0,0,54000.0,,,0.0,Credit card,-1446,
1159585,317354,6190275,Active,currency 1,-84,0,100.0,,0.0,0,91497.42,63693.0,0.0,0.0,Consumer credit,-19,15249.555
1313228,215840,5221474,Closed,currency 1,-1509,0,-395.0,-1060.0,0.0,0,135000.0,-377.235,135377.235,0.0,Credit card,-1059,
806248,257620,6379168,Active,currency 1,-429,0,120.0,,,0,69750.0,25555.5,0.0,0.0,Consumer credit,-39,
1387334,291877,6603343,Active,currency 1,-596,0,1240.0,,,0,450000.0,432788.355,17211.645,0.0,Credit card,-13,
804262,450627,6512523,Active,currency 1,-262,0,653.0,,0.0,0,90004.5,73948.5,0.0,0.0,Consumer credit,-15,
519109,406058,6462777,Closed,currency 1,-2583,0,-2490.0,-2490.0,0.0,0,29916.0,0.0,0.0,0.0,Consumer credit,-2487,
748869,197252,6629803,Active,currency 1,-2625,0,-2443.0,,,0,57487.5,0.0,,0.0,Consumer credit,-523,
1136465,439810,5868633,Active,currency 1,-293,0,438.0,,,0,337500.0,244035.0,0.0,0.0,Consumer credit,-4,0.0
1641737,369153,5551488,Closed,currency 1,-853,0,,-824.0,,0,35050.5,,,0.0,Consumer credit,-398,
61499,275436,5240335,Closed,currency 1,-1638,0,-1459.0,-1459.0,,0,122994.0,0.0,0.0,0.0,Consumer credit,-1370,
985510,392879,5075938,Active,currency 1,-1447,0,10.0,,,0,324000.0,98361.0,0.0,0.0,Credit card,-39,
247715,110157,5895711,Closed,currency 1,-449,0,-265.0,-265.0,,0,90000.0,0.0,0.0,0.0,Consumer credit,-225,
1678011,348522,6653671,Active,currency 1,-602,0,158.0,,,0,142744.5,37705.905,,0.0,Consumer credit,-32,
1396607,159788,5270065,Active,currency 1,-410,0,,,,0,90000.0,,,0.0,Credit card,-409,
633174,325848,6222726,Closed,currency 1,-1383,0,-1201.0,-1201.0,,0,180000.0,0.0,0.0,0.0,Consumer credit,-868,
1372105,304141,5381307,Active,currency 1,-1533,0,1318.0,,9517.995,0,135000.0,292151.475,27348.525,0.0,Credit card,-533,
1613064,279377,6690146,Closed,currency 1,-1922,0,-1801.0,-1801.0,0.0,0,103500.0,0.0,0.0,0.0,Consumer credit,-1682,0.0
604042,417415,5148854,Sold,currency 1,-386,0,710.0,,,0,269469.0,,,0.0,Consumer credit,-209,34456.5
1615253,373807,6486771,Closed,currency 1,-2628,0,-1867.0,-1895.0,0.0,0,113589.0,0.0,0.0,0.0,Consumer credit,-1895,
1424711,262131,6738525,Closed,currency 1,-1380,0,-1315.0,-1315.0,,0,13500.0,0.0,0.0,0.0,Credit card,-877,27193.5
1149768,412847,5609131,Active,currency 1,-365,0,0.0,,,0,121500.0,5805.0,0.0,0.0,Consumer credit,-8,
970112,334062,5678949,Closed,currency 1,-514,0,,-281.0,0.0,0,23308.29,0.0,0.0,0.0,Credit card,-276,
804066,189276,6512289,Active,currency 1,-319,0,1507.0,,,0,454500.0,,,0.0,Consumer credit,-10,
338433,311973,6414840,Closed,currency 1,-2641,0,-814.0,-1180.0,,0,697500.0,0.0,0.0,0.0,Consumer credit,-1175,
1207718,352420,5778010,Active,currency 1,-1355,0,-269.0,,12849.3,0,135000.0,172603.845,25396.155,0.0,Credit card,-671,
275303,399100,5060613,Active,currency 1,-147,0,-11.0,,,0,360000.0,0.0,0.0,0.0,Credit card,-28,
637110,289362,6227601,Closed,currency 1,-814,0,-204.0,-751.0,0.0,0,155230.56,0.0,0.0,0.0,Consumer credit,-751,
1145254,217721,5603546,Closed,currency 1,-2186,0,-2063.0,-2123.0,45.0,0,35005.365,0.0,0.0,0.0,Consumer credit,-2123,
662363,112888,6075477,Active,currency 1,-1304,0,-623.0,,0.0,0,4500.0,-147.375,147.375,0.0,Credit card,-605,
837574,140722,6640777,Closed,currency 1,-1044,0,-861.0,-833.0,,0,37125.0,0.0,0.0,0.0,Consumer credit,-703,
682785,368237,5307785,Active,currency 1,-511,0,219.0,,,0,135000.0,64075.5,0.0,0.0,Consumer credit,-57,
278706,299074,6012101,Active,currency 1,-158,0,1446.0,,0.0,0,112500.0,107138.115,5361.885,0.0,Credit card,-7,7200.0
1334169,183263,6600640,Closed,currency 1,-2651,0,-2316.0,-2344.0,6480.0,0,58111.65,0.0,0.0,0.0,Consumer credit,-2344,
519681,419501,6139959,Closed,currency 1,-554,0,-281.0,-281.0,,0,38614.5,0.0,0.0,0.0,Consumer credit,-279,0.0
82296,430925,5261492,Active,currency 1,-892,0,934.0,,,0,450000.0,,,0.0,Consumer credit,-70,
1140257,118129,5873251,Active,currency 1,-1749,0,-1563.0,,,0,28305.0,24295.5,,0.0,Consumer credit,-508,
1593250,371843,5593341,Closed,currency 1,-737,0,1092.0,-446.0,3375.0,0,225000.0,46606.995,178393.005,0.0,Credit card,-446,
1257167,448370,6810256,Closed,currency 1,-536,0,194.0,-232.0,0.0,0,98559.0,0.0,0.0,0.0,Consumer credit,-232,
687710,301097,5314007,Closed,currency 1,-397,0,-337.0,-337.0,,0,297495.0,0.0,0.0,0.0,Consumer credit,-337,0.0
664945,120145,5017370,Closed,currency 1,-1816,0,-1451.0,-1277.0,,0,33300.0,0.0,,0.0,Consumer credit,-1277,
1611130,292936,6687916,Closed,currency 1,-1679,0,147.0,-408.0,,0,225000.0,0.0,0.0,0.0,Consumer credit,-104,
843995,245755,6273831,Closed,currency 1,-1977,0,-1232.0,-1050.0,,0,675000.0,,,0.0,Consumer credit,-1047,19737.0
15453,125973,6025041,Active,currency 1,-189,0,30911.0,,,0,153000.0,135000.0,,0.0,Credit card,-15,0.0
693890,223545,6078550,Active,currency 1,-246,0,850.0,,0.0,0,1815300.0,1554565.5,0.0,0.0,Consumer credit,-16,50425.02
248905,258190,5897109,Closed,currency 1,-913,0,-609.0,-883.0,0.0,0,134460.0,0.0,0.0,0.0,Consumer credit,-880,
889443,174925,5817730,Closed,currency 1,-596,0,,-250.0,0.0,0,351000.0,0.0,0.0,0.0,Credit card,-246,
1064622,216701,6480150,Closed,currency 1,-832,0,-770.0,-770.0,0.0,0,31500.0,0.0,0.0,0.0,Consumer credit,-457,
984309,258775,5074512,Active,currency 1,-670,0,426.0,,9780.48,0,135000.0,134002.08,997.92,0.0,Credit card,-31,
1479018,400093,5352197,Active,currency 1,-2908,30,-2696.0,,,0,31682.97,0.0,,360.0,Consumer credit,-758,
1369101,338761,6711271,Closed,currency 1,-1319,0,-1135.0,-1112.0,,0,29925.0,0.0,0.0,0.0,Consumer credit,-1112,
114444,450919,6799616,Closed,currency 1,-1299,0,-1205.0,-1202.0,,0,23890.5,0.0,,0.0,Consumer credit,-1202,
327807,166910,5540023,Active,currency 1,-291,0,27526.0,,0.0,0,78750.0,0.0,78750.0,0.0,Credit card,-140,
1144819,421102,6759098,Closed,currency 1,-2605,0,-778.0,-1042.0,,0,3254994.0,0.0,0.0,0.0,Car loan,-476,
979032,145947,6210671,Closed,currency 1,-1178,0,649.0,-721.0,,0,2025000.0,0.0,0.0,0.0,Consumer credit,-716,
535221,415346,5484612,Active,currency 1,-299,0,1527.0,,,0,1125000.0,1035621.0,0.0,0.0,Consumer credit,-60,
1428130,454391,6715176,Closed,currency 1,-618,0,,-428.0,0.0,0,297000.0,0.0,0.0,0.0,Credit card,-423,110506.5
786315,166589,6049209,Active,currency 1,-484,0,614.0,,0.0,0,135000.0,80324.325,54675.675,0.0,Credit card,-12,
897968,190866,5465425,Closed,currency 1,-590,0,-315.0,-315.0,,0,97749.0,0.0,0.0,0.0,Consumer credit,-306,
466315,451065,6565676,Closed,currency 1,-2257,0,-1539.0,-1579.0,,0,675000.0,0.0,0.0,0.0,Consumer credit,-1549,
1315044,149992,5177952,Closed,currency 1,-2063,0,-1851.0,-1878.0,,0,52137.81,0.0,,0.0,Consumer credit,-862,
1033126,158686,6768948,Active,currency 1,-992,0,835.0,,,0,395640.0,245205.0,0.0,0.0,Consumer credit,-55,
631265,435695,5697980,Closed,currency 1,-1456,0,-1089.0,-1078.0,,0,100300.5,0.0,0.0,0.0,Consumer credit,-730,
7661,455317,5723720,Active,currency 1,-863,0,918.0,,0.0,0,337500.0,0.0,45000.0,0.0,Credit card,-535,
378393,426852,5031140,Closed,currency 1,-2374,0,-2253.0,-1844.0,0.0,0,48307.5,0.0,0.0,0.0,Consumer credit,-1843,
1109235,423916,6182552,Active,currency 1,-553,0,1642.0,,,0,180000.0,,,0.0,Credit card,-5,
2357,244103,5717391,Closed,currency 1,-1406,0,-1225.0,-1178.0,,0,29056.5,0.0,,0.0,Consumer credit,-480,
232736,401329,5848007,Closed,currency 1,-1220,0,607.0,-575.0,,0,456750.0,445419.0,,0.0,Consumer credit,-575,
391848,445609,6318960,Closed,currency 1,-2061,0,-235.0,-994.0,,0,1856430.0,0.0,0.0,0.0,Car loan,-986,
178156,213086,5702961,Active,currency 1,-1578,0,,,3235.5,0,450000.0,424278.0,0.0,0.0,Credit card,-11,
1230237,343010,5213408,Closed,currency 1,-2273,0,-463.0,-463.0,0.0,0,360000.0,0.0,0.0,0.0,Consumer credit,-463,14488.65
