,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
204207,336743,0,Cash loans,M,N,Y,0,112500.0,247275.0,21280.5,225000.0,Family,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.030755,-8514,-672,-1137.0,-1181,,1,1,0,1,0,0,Cooking staff,2.0,2,2,MONDAY,13,0,0,0,0,0,0,Business Entity Type 2,0.2468141253377412,0.3566495153335599,0.31703177858344445,0.0165,,0.9727,,,0.0,0.069,0.0417,,,,0.0124,,0.0,0.0168,,0.9727,,,0.0,0.069,0.0417,,,,0.013000000000000001,,0.0,0.0167,,0.9727,,,0.0,0.069,0.0417,,,,0.0127,,0.0,,block of flats,0.0155,"Stone, brick",No,4.0,0.0,4.0,0.0,-378.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14973,117481,0,Cash loans,M,N,N,1,90000.0,298512.0,19948.5,270000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.030755,-10703,-3489,-2736.0,-3245,,1,1,0,1,0,0,Low-skill Laborers,3.0,2,2,MONDAY,14,0,0,0,0,1,1,Trade: type 7,,0.6339222708158292,0.8106180215523969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,0.0,-1970.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
31750,136824,0,Revolving loans,F,Y,N,0,81000.0,180000.0,9000.0,180000.0,Other_A,Working,Incomplete higher,Single / not married,With parents,0.010556,-7845,-272,-945.0,-531,8.0,1,1,1,1,1,0,Core staff,1.0,3,3,TUESDAY,10,0,0,0,1,1,0,School,,0.08036508584507401,0.4436153084085652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
24263,128224,0,Cash loans,F,N,Y,0,45000.0,286704.0,15682.5,247500.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.015221,-20463,365243,-1742.0,-3929,,1,0,0,1,0,0,,2.0,2,2,THURSDAY,11,0,0,0,0,0,0,XNA,,0.5901654719150339,0.4206109640437848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2050.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
305341,453767,0,Cash loans,F,N,Y,0,225000.0,1231663.5,39861.0,1075500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792000000000004,-17230,-1734,-1750.0,-785,,1,1,0,1,1,0,Core staff,2.0,2,2,FRIDAY,10,0,0,0,0,1,1,Kindergarten,0.79447466920323,0.6677342491831465,0.813917469762627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-2845.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
233363,370299,0,Cash loans,M,N,Y,0,112500.0,269550.0,19300.5,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.04622,-24733,365243,-9132.0,-4694,,1,0,0,1,0,0,,2.0,1,1,SATURDAY,10,0,0,0,0,0,0,XNA,,0.7660907853918271,0.4083588531230431,0.2227,0.08900000000000001,0.9876,0.83,0.0492,0.24,0.2069,0.3333,0.375,,0.1816,0.2205,0.0,0.0,0.2269,0.0924,0.9876,0.8367,0.0496,0.2417,0.2069,0.3333,0.375,,0.1983,0.2298,0.0,0.0,0.2248,0.08900000000000001,0.9876,0.8323,0.0495,0.24,0.2069,0.3333,0.375,,0.1847,0.2245,0.0,0.0,reg oper spec account,block of flats,0.2006,Panel,No,0.0,0.0,0.0,0.0,-409.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,5.0
297574,444745,0,Cash loans,M,Y,Y,0,202500.0,528633.0,38817.0,472500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.032561,-18115,-4103,-5200.0,-1589,2.0,1,1,0,1,1,0,Drivers,2.0,1,1,MONDAY,17,0,0,0,0,0,0,Government,0.3830934977701086,0.7262228066868663,0.6109913280868294,,,0.9473,,,,,,,,,0.0292,,,,,0.9474,,,,,,,,,0.0304,,,,,0.9473,,,,,,,,,0.0297,,,,,0.026000000000000002,,No,4.0,0.0,4.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
106200,223218,0,Cash loans,M,Y,N,0,157500.0,152820.0,9949.5,135000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.022625,-9012,-1283,-8406.0,-1563,6.0,1,1,1,1,1,0,Laborers,2.0,2,2,TUESDAY,16,0,0,0,1,1,0,Industry: type 7,0.16883797048773494,0.6655668821814924,0.43473324875017305,0.0309,0.0794,0.9886,0.8436,0.0043,0.0,0.1034,0.0833,0.125,0.0193,0.0252,0.0369,0.0,0.0,0.0315,0.0824,0.9886,0.8497,0.0043,0.0,0.1034,0.0833,0.125,0.0198,0.0275,0.0384,0.0,0.0,0.0312,0.0794,0.9886,0.8457,0.0043,0.0,0.1034,0.0833,0.125,0.0197,0.0257,0.0376,0.0,0.0,reg oper account,block of flats,0.028999999999999998,"Stone, brick",No,0.0,0.0,0.0,0.0,-1162.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
140590,263019,0,Cash loans,M,Y,Y,0,180000.0,208854.0,22621.5,184500.0,Family,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.00963,-8509,-238,-219.0,-1188,2.0,1,1,0,1,0,0,Drivers,1.0,2,2,SATURDAY,12,0,0,0,0,1,1,Self-employed,0.04766546794920968,0.004671384205495108,0.5298898341969072,0.0619,,0.9752,,,0.0,0.1034,0.1667,,,,0.0341,,0.0,0.063,,0.9752,,,0.0,0.1034,0.1667,,,,0.0355,,0.0,0.0625,,0.9752,,,0.0,0.1034,0.1667,,,,0.0347,,0.0,reg oper account,block of flats,0.0397,"Stone, brick",No,0.0,0.0,0.0,0.0,-30.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
167080,293693,0,Cash loans,F,N,Y,0,112500.0,814041.0,23931.0,679500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.010643,-23120,365243,-2608.0,-4612,,1,0,0,1,0,0,,2.0,2,2,TUESDAY,11,0,0,0,0,0,0,XNA,,0.2619073547616051,0.8193176922872417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
261045,402124,0,Cash loans,F,Y,N,0,144000.0,545040.0,25537.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.072508,-10631,-1168,-3394.0,-2916,7.0,1,1,0,1,0,0,Cooking staff,2.0,1,1,TUESDAY,15,0,1,1,0,0,0,Restaurant,0.5947607136411094,0.7120426524775779,0.4329616670974407,0.0722,0.028999999999999998,0.9578,0.42200000000000004,,0.24,0.2069,0.2083,0.0417,0.0,0.053,0.0928,0.027000000000000003,0.0664,0.0735,0.0301,0.9578,0.4446,,0.2417,0.2069,0.2083,0.0417,0.0,0.0579,0.0967,0.0272,0.0703,0.0729,0.028999999999999998,0.9578,0.4297,,0.24,0.2069,0.2083,0.0417,0.0,0.0539,0.0944,0.0272,0.0678,reg oper account,block of flats,0.0874,"Stone, brick",No,0.0,0.0,0.0,0.0,-1082.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
47600,155139,0,Cash loans,F,N,Y,0,157500.0,584775.0,55651.5,562500.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.010966,-22116,-2115,-10050.0,-5334,,1,1,0,1,0,0,Sales staff,2.0,2,2,TUESDAY,13,0,0,0,0,0,0,Trade: type 7,,0.7106417219443224,0.6674577419214722,0.2134,0.3657,0.9866,,,0.24,0.2069,0.3333,,0.0992,,0.2378,,0.0,0.2174,0.3795,0.9866,,,0.2417,0.2069,0.3333,,0.1015,,0.2478,,0.0,0.2155,0.3657,0.9866,,,0.24,0.2069,0.3333,,0.10099999999999999,,0.2421,,0.0,,block of flats,0.1872,Panel,No,2.0,0.0,2.0,0.0,-1463.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,8.0
149902,273779,0,Cash loans,F,N,Y,2,247500.0,808650.0,23773.5,675000.0,Unaccompanied,Working,Higher education,Separated,House / apartment,0.031329,-14748,-2958,-6612.0,-4136,,1,1,0,1,0,0,Core staff,3.0,2,2,TUESDAY,16,0,0,0,0,0,0,School,0.4703941897762691,0.7008790773410458,,0.1206,0.1192,0.9801,0.728,0.0137,0.0,0.2759,0.1667,0.2083,0.0325,0.0983,0.0991,0.0,0.0,0.1229,0.1237,0.9801,0.7387,0.0139,0.0,0.2759,0.1667,0.2083,0.0333,0.1074,0.1032,0.0,0.0,0.1218,0.1192,0.9801,0.7316,0.0138,0.0,0.2759,0.1667,0.2083,0.0331,0.1,0.1009,0.0,0.0,reg oper account,block of flats,0.0779,Block,No,3.0,1.0,3.0,1.0,-1446.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
23265,127068,0,Cash loans,M,Y,N,0,180000.0,550980.0,43659.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.006305,-10731,-3591,-5144.0,-3424,22.0,1,1,0,1,0,1,Laborers,1.0,3,3,WEDNESDAY,5,0,0,0,0,0,0,Business Entity Type 3,0.15189981485357076,0.2889433662975613,0.7713615919194317,0.0186,0.0336,0.9722,0.7688,0.0025,0.0,0.069,0.1667,0.2083,0.0266,0.0151,0.0132,0.0,0.0,0.0189,0.0348,0.9613,0.7779,0.0025,0.0,0.069,0.1667,0.2083,0.0273,0.0165,0.0101,0.0,0.0,0.0187,0.0336,0.9722,0.7719,0.0025,0.0,0.069,0.1667,0.2083,0.0271,0.0154,0.0134,0.0,0.0,reg oper account,block of flats,0.0076,Panel,Yes,0.0,0.0,0.0,0.0,-1561.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
106989,224127,0,Cash loans,F,N,Y,0,315000.0,769500.0,27769.5,769500.0,Unaccompanied,State servant,Higher education,Widow,House / apartment,0.006852,-19946,-5280,-13962.0,-3494,,1,1,0,1,0,0,Core staff,1.0,3,3,TUESDAY,10,0,0,0,0,0,0,Culture,0.7284993705881123,0.6420433034330768,,0.0825,0.0807,0.9776,0.6940000000000001,0.034,0.0,0.1379,0.1667,0.0417,0.0891,0.0672,0.0711,0.0,0.0,0.084,0.0837,0.9777,0.706,0.0343,0.0,0.1379,0.1667,0.0417,0.0912,0.0735,0.0741,0.0,0.0,0.0833,0.0807,0.9776,0.6981,0.0342,0.0,0.1379,0.1667,0.0417,0.0907,0.0684,0.0724,0.0,0.0,reg oper account,block of flats,0.0559,Panel,No,0.0,0.0,0.0,0.0,-2036.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
